Continent,Country,PM2.5,Happiness Score
Asia,Afghanistan,17.1,2.404
Europe,Albania,14.5,5.199
Africa,Algeria,17.8,5.122
South America,Argentina,14.2,5.967
Asia,Armenia,31.4,5.399
Europe,Armenia,31.4,5.399
Oceania,Australia,2.8,7.162
Europe,Austria,10.5,7.163
Asia,Bahrain,66.6,6.647
Asia,Bangladesh,65.8,5.155
Europe,Belgium,10.6,6.805
Europe,Bulgaria,19.1,5.371
Africa,Burkina Faso,63.0,4.67
Asia,Cambodia,8.3,4.64
North America,Canada,6.8,7.025
South America,Chile,25.8,6.172
Asia,China,29.8,5.585
North America,Costa Rica,7.9,6.582
Europe,Croatia,22.4,6.125
Europe,Cyprus,16.4,6.221
Europe,Denmark,8.7,7.636
Africa,Egypt,47.4,4.288
North America,El Salvador,13.4,6.12
Europe,Estonia,4.8,6.341
Africa,Ethiopia,31.3,4.241
Europe,Finland,5.5,7.821
Europe,France,12.7,6.687
Africa,Gabon,25.0,4.958
Asia,Georgia,16.3,4.973
Europe,Georgia,16.3,4.973
Europe,Germany,12.6,7.034
Africa,Ghana,30.1,4.872
Europe,Greece,19.2,5.948
North America,Honduras,10.2,6.022
Europe,Hungary,11.2,6.086
Europe,Iceland,3.3,7.557
Asia,India,89.1,3.777
Asia,Indonesia,36.2,5.24
Asia,Iran,36.1,4.888
Asia,Iraq,86.7,4.941
Europe,Ireland,7.1,7.041
Asia,Israel,16.9,7.364
Europe,Italy,12.6,6.467
Asia,Japan,9.2,6.039
Europe,Kazakhstan,21.4,6.234
Asia,Kazakhstan,21.4,6.234
Africa,Kenya,11.5,4.543
Europe,Kosovo,13.7,6.455
Asia,Kyrgyzstan,29.0,5.828
Asia,Laos,27.6,5.14
Europe,Lithuania,14.5,6.446
Asia,Malaysia,17.6,5.711
North America,Mexico,22.1,6.128
Europe,Moldova,22.6,5.857
Asia,Mongolia,30.6,5.761
Europe,Montenegro,11.8,5.547
Asia,Nepal,40.7,5.377
Europe,Netherlands,10.1,7.415
Oceania,New Zealand,2.3,7.2
North America,Nicaragua,8.9,6.165
Africa,Nigeria,46.5,4.552
Europe,North Macedonia,26.6,5.199
Europe,Norway,6.9,7.365
Asia,Pakistan,40.6,4.516
South America,Peru,25.6,5.559
Europe,Poland,15.3,6.123
Europe,Portugal,7.5,6.016
Europe,Romania,17.1,6.477
Europe,Russia,10.8,5.459
Asia,Saudi Arabia,46.2,6.523
Africa,Senegal,20.4,5.046
Europe,Serbia,22.1,6.178
Asia,Singapore,13.3,6.48
Europe,Slovakia,13.4,6.391
Europe,Slovenia,16.2,6.63
Africa,South Africa,21.7,5.194
Asia,South Korea,18.3,5.935
Europe,Spain,9.5,6.476
Asia,Sri Lanka,20.9,4.362
Europe,Sweden,6.8,7.384
Europe,Switzerland,10.5,7.512
Asia,Tajikistan,47.7,5.377
Asia,Thailand,18.0,5.891
Europe,Turkey,14.0,4.744
Asia,Turkey,14.0,4.744
Africa,Uganda,39.6,4.603
Europe,Ukraine,9.5,5.084
Asia,United Arab Emirates,48.0,6.576
Europe,United Kingdom,9.6,6.943
South America,Uruguay,11.3,6.474
Asia,Uzbekistan,33.5,6.063
Asia,Vietnam,40.1,5.485
Africa,Zambia,24.6,3.76
